dataset,frame_id,object_idx,instruction,object_label,n_trajectories,n_timesteps,best_traj_idx,best_total_loss,best_goal_loss,best_collision_loss,best_normal_loss,all_trajs_file,best_traj_file
IMG_1884,0,0,open the closer,closer,40,81,25,0.157155,0.021859,0.127489,0.007807,trajectories/frame000000_obj000000_all_trajectories.npy,trajectories/frame000000_obj000000_best_trajectory.npy
IMG_1884,0,1,open the closer,closer,40,81,11,0.145547,0.028264,0.094629,0.022654,trajectories/frame000000_obj000001_all_trajectories.npy,trajectories/frame000000_obj000001_best_trajectory.npy
IMG_1884,0,2,open the closer,closer,40,81,6,0.09571,0.012418,0.058937,0.024355,trajectories/frame000000_obj000002_all_trajectories.npy,trajectories/frame000000_obj000002_best_trajectory.npy
IMG_1884,0,3,open the closer,closer,40,81,20,0.207699,0.030068,0.144507,0.033124,trajectories/frame000000_obj000003_all_trajectories.npy,trajectories/frame000000_obj000003_best_trajectory.npy
