dataset,frame_id,object_idx,instruction,object_label,n_trajectories,n_timesteps,best_traj_idx,best_total_loss,best_goal_loss,best_collision_loss,best_normal_loss,all_trajs_file,best_traj_file
IMG_1881,0,0,open the door,door,40,81,18,0.141246,0.0267,0.097372,0.017174,trajectories/frame000000_obj000000_all_trajectories.npy,trajectories/frame000000_obj000000_best_trajectory.npy
IMG_1881,0,1,open the door,door,40,81,11,0.130499,0.027439,0.09492,0.00814,trajectories/frame000000_obj000001_all_trajectories.npy,trajectories/frame000000_obj000001_best_trajectory.npy
IMG_1881,0,2,open the door,door,40,81,21,0.221987,0.023889,0.174242,0.023857,trajectories/frame000000_obj000002_all_trajectories.npy,trajectories/frame000000_obj000002_best_trajectory.npy
IMG_1881,0,3,open the door,door,40,81,9,0.145911,0.014307,0.114616,0.016988,trajectories/frame000000_obj000003_all_trajectories.npy,trajectories/frame000000_obj000003_best_trajectory.npy
IMG_1881,0,4,open the door,door,40,81,36,0.099779,0.018687,0.071698,0.009395,trajectories/frame000000_obj000004_all_trajectories.npy,trajectories/frame000000_obj000004_best_trajectory.npy
