dataset,frame_id,object_idx,instruction,object_label,n_trajectories,n_timesteps,best_traj_idx,best_total_loss,best_goal_loss,best_collision_loss,best_normal_loss,all_trajs_file,best_traj_file
IMG_1878,0,0,open the top drawer,top drawer,40,81,4,0.152806,0.011912,0.133943,0.006952,trajectories/frame000000_obj000000_all_trajectories.npy,trajectories/frame000000_obj000000_best_trajectory.npy
IMG_1878,0,1,open the top drawer,top drawer,40,81,38,0.109201,0.023942,0.075136,0.010123,trajectories/frame000000_obj000001_all_trajectories.npy,trajectories/frame000000_obj000001_best_trajectory.npy
IMG_1878,0,2,open the top drawer,top drawer,40,81,8,0.166263,0.015198,0.142121,0.008944,trajectories/frame000000_obj000002_all_trajectories.npy,trajectories/frame000000_obj000002_best_trajectory.npy
IMG_1878,0,3,open the top drawer,top drawer,40,81,25,0.21166,0.014026,0.188226,0.009408,trajectories/frame000000_obj000003_all_trajectories.npy,trajectories/frame000000_obj000003_best_trajectory.npy
