dataset,frame_id,object_idx,instruction,object_label,n_samples,n_timesteps,mean_start_x,mean_start_y,mean_start_z,mean_end_x,mean_end_y,mean_end_z,mean_arc_length_m,sample_diversity_m,all_trajs_file
IMG_2118,0,0,pull the cabinet open,pull the cabinet open,20,81,-0.034781,-0.128098,0.429102,0.062399,0.006481,0.331617,0.250365,0.131613,diffuser_actor_prediction/000000_000000_pull-the-cabinet-open.npz
IMG_2118,0,1,pull the cabinet open,pull the cabinet open,20,81,-0.286891,0.175032,0.469176,-0.205543,0.253758,0.419506,0.173811,0.099097,diffuser_actor_prediction/000000_000001_pull-the-cabinet-open.npz
