dataset,frame_id,object_idx,instruction,object_label,n_trajectories,n_timesteps,best_traj_idx,best_total_loss,best_goal_loss,best_collision_loss,best_normal_loss,all_trajs_file,best_traj_file
IMG_2118,0,0,pull the cabinet open,pull the cabinet open,40,81,6,0.172342,0.028625,0.119576,0.024141,trajectories/frame000000_obj000000_all_trajectories.npy,trajectories/frame000000_obj000000_best_trajectory.npy
IMG_2118,0,1,pull the cabinet open,pull the cabinet open,40,81,31,0.188466,0.007447,0.167281,0.013738,trajectories/frame000000_obj000001_all_trajectories.npy,trajectories/frame000000_obj000001_best_trajectory.npy
