dataset,frame_id,object_idx,instruction,object_label,n_trajectories,n_timesteps,best_traj_idx,best_total_loss,best_goal_loss,best_collision_loss,best_normal_loss,all_trajs_file,best_traj_file
IMG_1879,0,0,open the cabinet,cabinet,40,81,3,0.121888,0.018186,0.081443,0.02226,trajectories/frame000000_obj000000_all_trajectories.npy,trajectories/frame000000_obj000000_best_trajectory.npy
IMG_1879,0,1,open the cabinet,cabinet,40,81,16,0.183697,0.063316,0.029837,0.090545,trajectories/frame000000_obj000001_all_trajectories.npy,trajectories/frame000000_obj000001_best_trajectory.npy
IMG_1879,0,2,open the cabinet,cabinet,40,81,15,0.077065,0.018361,0.044733,0.013971,trajectories/frame000000_obj000002_all_trajectories.npy,trajectories/frame000000_obj000002_best_trajectory.npy
IMG_1879,0,3,open the cabinet,cabinet,40,81,2,0.08965,0.02334,0.05157,0.01474,trajectories/frame000000_obj000003_all_trajectories.npy,trajectories/frame000000_obj000003_best_trajectory.npy
